Year,Month,Day,Hour,Likes,Retweets,Hashtags,Platform,Country
2025,1,1,0,1317,471,#IndependenceDay,Instagram,India
2025,1,1,0,1502,324,#Rajasthan,Instagram,India
2025,1,1,0,2711,879,#T20,Instagram,India
2025,1,1,0,730,607,#BridalLook,Instagram,India
2025,1,1,0,1623,764,#Raksha Bandhan,Instagram,India
2025,1,1,1,2369,934,#Rohit,Instagram,India
2025,1,1,1,1696,599,#Kashmir,Instagram,India
2025,1,1,2,1321,541,#Ganesh Chaturthi,Instagram,India
2025,1,1,2,2325,739,#TeamIndia,Instagram,India
2025,1,1,2,1626,674,#SRK,Instagram,India
2025,1,1,2,1100,392,#Kedarnath,Instagram,India
2025,1,1,2,654,284,#SoloTravel,Instagram,India
2025,1,1,2,996,371,#HillStation,Instagram,India
2025,1,1,2,2308,898,#IPL2025,Instagram,India
2025,1,1,3,1644,579,#IPL2025,Instagram,India
2025,1,1,3,716,409,#Biryani,Instagram,India
2025,1,1,4,417,183,#HomeWorkout,Instagram,India
2025,1,1,4,1132,297,#StreetFood,Instagram,India
2025,1,1,4,1393,281,#BridalLook,Instagram,India
2025,1,1,4,1755,657,#SRK,Instagram,India
2025,1,1,4,1382,304,#Jawan2,Instagram,India
2025,1,1,4,914,276,#NEET2025,Instagram,India
2025,1,1,4,1648,277,#Goa,Instagram,India
2025,1,1,4,941,403,#WeekendGetaway,Instagram,India
2025,1,1,4,844,476,#SoloTravel,Instagram,India
2025,1,1,5,3536,749,#INDvsPAK,Instagram,India
2025,1,1,5,2761,1130,#Rohit,Instagram,India
2025,1,1,5,754,257,#DigitalIndia,Instagram,India
2025,1,1,5,1471,706,#Cricket,Instagram,India
2025,1,1,5,1608,251,#BridalLook,Instagram,India
2025,1,1,5,951,352,#BollywoodMusic,Instagram,India
2025,1,1,5,2234,900,#ChaseKaro,Instagram,India
2025,1,1,5,582,226,#Chai,Instagram,India
2025,1,1,5,1986,480,#T20,Instagram,India
2025,1,1,5,623,286,#FitIndia,Instagram,India
2025,1,1,6,221,120,#DailyRoutine,Instagram,India
2025,1,1,6,846,257,#EthnicWear,Instagram,India
2025,1,1,6,1557,343,#RepublicDay,Instagram,India
2025,1,1,6,1644,1043,#Diwali2025,Instagram,India
2025,1,1,6,530,158,#HomeWorkout,Instagram,India
2025,1,1,6,1476,420,#FashionBlogger,Instagram,India
2025,1,1,6,1888,1213,#INDvsPAK,Instagram,India
2025,1,1,6,2128,1158,#IPL2025,Instagram,India
2025,1,1,6,635,141,#PositiveVibes,Instagram,India
2025,1,1,7,604,400,#ChatGPT,Instagram,India
2025,1,1,7,339,217,#PositiveVibes,Instagram,India
2025,1,1,7,2516,1035,#Holi2025,Instagram,India
2025,1,1,8,3487,1421,#Virat,Instagram,India
2025,1,1,8,2386,884,#Holi2025,Instagram,India
2025,1,1,8,484,301,#MadeInIndia,Instagram,India
2025,1,1,8,2564,1450,#WorldCup2025,Instagram,India
2025,1,1,9,1453,699,#SareeStyle,Instagram,India
2025,1,1,9,2839,1377,#IPL2025,Instagram,India
2025,1,1,9,1596,625,#SRK,Instagram,India
2025,1,1,9,1370,547,#AccessoriesOfTheDay,Instagram,India
2025,1,1,9,3793,972,#IPL2025,Instagram,India
2025,1,1,10,1508,243,#Biryani,Instagram,India
2025,1,1,10,3400,1130,#IPL2025,Instagram,India
2025,1,1,10,651,213,#FitIndia,Instagram,India
2025,1,1,10,1053,330,#BeachVibes,Instagram,India
2025,1,1,10,1085,258,#5G,Instagram,India
2025,1,1,10,1123,267,#Zumba,Instagram,India
2025,1,1,10,993,308,#HillStation,Instagram,India
2025,1,1,10,510,264,#DelhiFood,Instagram,India
2025,1,1,11,958,705,#HillStation,Instagram,India
2025,1,1,11,1258,572,#FashionBlogger,Instagram,India
2025,1,1,11,2850,1154,#ChaseKaro,Instagram,India
2025,1,1,12,707,379,#HomeWorkout,Instagram,India
2025,1,1,12,3552,1203,#INDvsPAK,Instagram,India
